student_id,name,class_name,week,behavior_flag,behavior_category,behavior_note,academic_score
E101,ناصر الرواحي,الصف الأول,1,0,,,80
E101,ناصر الرواحي,الصف الأول,2,0,,,80
E101,ناصر الرواحي,الصف الأول,3,0,,,76
E101,ناصر الرواحي,الصف الأول,4,0,,,74
E101,ناصر الرواحي,الصف الأول,5,0,,,72
E101,ناصر الرواحي,الصف الأول,6,1,صحي,علامات إعياء وتعب ظاهري,68
E102,طارق أحمد,الصف الرابع,1,0,,,73
E102,طارق أحمد,الصف الرابع,2,0,,,73
E102,طارق أحمد,الصف الرابع,3,0,,,77
E102,طارق أحمد,الصف الرابع,4,0,,,77
E102,طارق أحمد,الصف الرابع,5,0,,,81
E102,طارق أحمد,الصف الرابع,6,0,,,80
E103,سارة السعدي,الصف الثاني,1,0,,,81
E103,سارة السعدي,الصف الثاني,2,0,,,87
E103,سارة السعدي,الصف الثاني,3,0,,,82
E103,سارة السعدي,الصف الثاني,4,0,,,87
E103,سارة السعدي,الصف الثاني,5,0,,,81
E103,سارة السعدي,الصف الثاني,6,0,,,84
E104,فيصل السعدي,الصف الثالث,1,0,,,80
E104,فيصل السعدي,الصف الثالث,2,1,نفسي,بكاء متكرر بدون سبب واضح,75
E104,فيصل السعدي,الصف الثالث,3,1,نفسي,انعزال مبالغ فيه عن الزملاء,68
E104,فيصل السعدي,الصف الثالث,4,1,نفسي,بكاء متكرر بدون سبب واضح,60
E104,فيصل السعدي,الصف الثالث,5,1,نفسي,بكاء متكرر بدون سبب واضح,50
E104,فيصل السعدي,الصف الثالث,6,1,نفسي,انعزال مبالغ فيه عن الزملاء,47
E105,بيان الحارثي,الصف الثالث,1,0,,,94
E105,بيان الحارثي,الصف الثالث,2,0,,,95
E105,بيان الحارثي,الصف الثالث,3,0,,,93
E105,بيان الحارثي,الصف الثالث,4,1,صحي,شكوى متكررة من آلام جسدية,91
E105,بيان الحارثي,الصف الثالث,5,0,,,90
E105,بيان الحارثي,الصف الثالث,6,1,صحي,فقدان شهية ملحوظ,85
E106,راشد السعدي,الصف الرابع,1,0,,,89
E106,راشد السعدي,الصف الرابع,2,0,,,87
E106,راشد السعدي,الصف الرابع,3,0,,,85
E106,راشد السعدي,الصف الرابع,4,0,,,86
E106,راشد السعدي,الصف الرابع,5,0,,,85
E106,راشد السعدي,الصف الرابع,6,0,,,85
E107,بدر المعمري,الصف الرابع,1,0,,,93
E107,بدر المعمري,الصف الرابع,2,0,,,92
E107,بدر المعمري,الصف الرابع,3,0,,,91
E107,بدر المعمري,الصف الرابع,4,0,,,91
E107,بدر المعمري,الصف الرابع,5,0,,,94
E107,بدر المعمري,الصف الرابع,6,0,,,93
E108,سارة الرواحي,الصف الأول,1,0,,,81
E108,سارة الرواحي,الصف الأول,2,0,,,77
E108,سارة الرواحي,الصف الأول,3,0,,,82
E108,سارة الرواحي,الصف الأول,4,0,,,81
E108,سارة الرواحي,الصف الأول,5,0,,,79
E108,سارة الرواحي,الصف الأول,6,0,,,80
E109,روان الحارثي,الصف الخامس,1,0,,,90
E109,روان الحارثي,الصف الخامس,2,0,,,88
E109,روان الحارثي,الصف الخامس,3,0,,,90
E109,روان الحارثي,الصف الخامس,4,0,,,92
E109,روان الحارثي,الصف الخامس,5,0,,,86
E109,روان الحارثي,الصف الخامس,6,0,,,91
E110,شهد الكيومي,الصف السادس,1,0,,,77
E110,شهد الكيومي,الصف السادس,2,0,,,81
E110,شهد الكيومي,الصف السادس,3,0,,,84
E110,شهد الكيومي,الصف السادس,4,0,,,84
E110,شهد الكيومي,الصف السادس,5,0,,,88
E110,شهد الكيومي,الصف السادس,6,0,,,87
E111,طارق الكيومي,الصف الثاني,1,0,,,88
E111,طارق الكيومي,الصف الثاني,2,0,,,94
E111,طارق الكيومي,الصف الثاني,3,0,,,93
E111,طارق الكيومي,الصف الثاني,4,0,,,90
E111,طارق الكيومي,الصف الثاني,5,0,,,94
E111,طارق الكيومي,الصف الثاني,6,0,,,93
E112,ليان الشحية,الصف الثاني,1,0,,,93
E112,ليان الشحية,الصف الثاني,2,0,,,90
E112,ليان الشحية,الصف الثاني,3,1,سلوكي,حركة توتر غير معتادة,82
E112,ليان الشحية,الصف الثاني,4,1,صحي,شكوى متكررة من آلام جسدية,81
E112,ليان الشحية,الصف الثاني,5,1,سلوكي,تشتت وانعدام تركيز حاد,69
E112,ليان الشحية,الصف الثاني,6,1,صحي,فقدان شهية ملحوظ,62
E113,مريم الغافري,الصف الرابع,1,0,,,81
E113,مريم الغافري,الصف الرابع,2,0,,,76
E113,مريم الغافري,الصف الرابع,3,1,سلوكي,صعوبة الالتزام بالتعليمات,78
E113,مريم الغافري,الصف الرابع,4,0,,,80
E113,مريم الغافري,الصف الرابع,5,0,,,77
E113,مريم الغافري,الصف الرابع,6,0,,,77
E114,ماجد السعدي,الصف السادس,1,0,,,87
E114,ماجد السعدي,الصف السادس,2,0,,,84
E114,ماجد السعدي,الصف السادس,3,0,,,85
E114,ماجد السعدي,الصف السادس,4,0,,,82
E114,ماجد السعدي,الصف السادس,5,1,نفسي,انعزال مبالغ فيه عن الزملاء,78
E114,ماجد السعدي,الصف السادس,6,0,,,79
E115,سارة سليمان,الصف الأول,1,0,,,70
E115,سارة سليمان,الصف الأول,2,0,,,70
E115,سارة سليمان,الصف الأول,3,0,,,76
E115,سارة سليمان,الصف الأول,4,0,,,75
E115,سارة سليمان,الصف الأول,5,0,,,78
E115,سارة سليمان,الصف الأول,6,0,,,81
E116,ليان الغافري,الصف الخامس,1,0,,,94
E116,ليان الغافري,الصف الخامس,2,0,,,92
E116,ليان الغافري,الصف الخامس,3,1,سلوكي,تشتت وانعدام تركيز حاد,83
E116,ليان الغافري,الصف الخامس,4,1,نفسي,حزن ملحوظ ومستمر,81
E116,ليان الغافري,الصف الخامس,5,1,سلوكي,حركة توتر غير معتادة,71
E116,ليان الغافري,الصف الخامس,6,1,نفسي,حزن ملحوظ ومستمر,65
E117,نور محمد,الصف الرابع,1,0,,,88
E117,نور محمد,الصف الرابع,2,0,,,88
E117,نور محمد,الصف الرابع,3,0,,,82
E117,نور محمد,الصف الرابع,4,0,,,83
E117,نور محمد,الصف الرابع,5,0,,,83
E117,نور محمد,الصف الرابع,6,0,,,83
E118,سلطان الحارثي,الصف الثاني,1,0,,,83
